task,model,tier,provider,example_id,repeat,cost_usd,latency_seconds,tokens_in,tokens_out,rouge_l,judge_score,accuracy,exact_match,f1,pass_at_1
summarization,claude-opus,frontier,anthropic,summ_0,0,0.025395,4.7045509815216064,748,189,0.2255639097744361,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_0,1,0.024419999999999997,4.604541063308716,748,176,0.19354838709677416,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_1,0,0.04014,4.103064060211182,1761,183,0.18749999999999997,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_1,1,0.041264999999999996,4.09720516204834,1761,198,0.14285714285714288,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_2,0,0.02274,5.384039878845215,746,154,0.3428571428571428,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_2,1,0.02484,4.199180364608765,746,182,0.3448275862068965,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_3,0,0.025724999999999998,4.3968589305877686,940,155,0.22018348623853212,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_3,1,0.026099999999999998,3.586463212966919,940,160,0.19642857142857142,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_4,0,0.026295,3.786954879760742,913,168,0.3972602739726028,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_4,1,0.023745,3.5973613262176514,913,134,0.3787878787878788,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_5,0,0.027945,3.5865392684936523,1008,171,0.2684563758389262,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_5,1,0.02457,3.066448926925659,1008,126,0.25,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_6,0,0.022245,4.396792650222778,678,161,0.2641509433962264,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_6,1,0.02142,3.0535740852355957,678,150,0.2626262626262626,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_7,0,0.037950000000000005,3.693070650100708,1675,171,0.23863636363636365,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_7,1,0.038775000000000004,3.8158276081085205,1675,182,0.2569832402234637,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_8,0,0.029955,4.429930210113525,1062,187,0.18309859154929578,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_8,1,0.029054999999999997,3.8927371501922607,1062,175,0.14814814814814814,5.0,,,,
