task,model,tier,provider,cost_usd_mean,cost_usd_std,latency_seconds_mean,latency_seconds_std,tokens_in_mean,tokens_out_mean,rouge_l_mean,rouge_l_std,judge_score_mean,judge_score_std,accuracy_mean,accuracy_std,exact_match_mean,exact_match_std,f1_mean,f1_std,pass_at_1_mean,pass_at_1_std
classification,claude-haiku,budget,anthropic,0.0001005,1.313077359449448e-05,1.4136919260025025,0.9165246648034302,103.0,4.525,,,,,0.9,0.3018927632559766,,,,,,
classification,claude-opus,frontier,anthropic,0.0026206875,0.00033850541172309606,2.031266751885414,1.094268983137552,147.775,5.3875,,,,,0.95,0.21932000780317518,,,,,,
classification,claude-sonnet,mid,anthropic,0.0005250750000000001,6.877090476191332e-05,1.9601556569337846,0.6557814699046466,147.775,5.45,,,,,0.95,0.21932000780317518,,,,,,
classification,gemini-pro,mid,google,0.000147,2.148137256063047e-05,2.7990143418312075,0.607891268397863,89.075,1.4875,,,,,0.95,0.21932000780317518,,,,,,
classification,gpt-frontier,frontier,openai,0.000581625,6.557812521206381e-05,1.772696778178215,0.8934874212250559,89.925,4.4,,,,,0.9125,0.28434913465623,,,,,,
classification,llama-70b,open-source,together,0.000126438,1.3787008965055895e-05,1.489158383011818,1.1359597731018467,119.125,2.45,,,,,0.925,0.2650531353464094,,,,,,
code_gen,claude-haiku,budget,anthropic,0.0010353466666666667,0.0005314515739109532,2.2306466420491535,0.6760832022088332,187.1,221.41666666666666,,,,,,,,,,,0.8666666666666667,0.3428033318008815
code_gen,claude-opus,frontier,anthropic,0.014314,0.0058165804649368295,3.332292099793752,1.022548832995302,228.43333333333334,145.16666666666666,,,,,,,,,,,1.0,0.0
code_gen,claude-sonnet,mid,anthropic,0.0024738,0.001327558927160955,2.7748570799827577,1.2251104002911866,228.43333333333334,119.23333333333333,,,,,,,,,,,0.9666666666666667,0.18102033471939252
code_gen,gemini-pro,mid,google,0.0008923983050847459,0.00045146149432609065,4.925924955788306,1.3758158549378317,174.52542372881356,70.0677966101695,,,,,,,,,,,0.4576271186440678,0.5024777880939232
code_gen,gpt-frontier,frontier,openai,0.005082666666666667,0.003100966834833043,4.393980952103933,2.2470213622843236,163.63333333333333,142.15,,,,,,,,,,,1.0,0.0
code_gen,llama-70b,open-source,together,0.000273364,9.25010244414183e-05,2.5096280694007875,1.180795221547319,192.56666666666666,70.28333333333333,,,,,,,,,,,0.7666666666666667,0.4265218680850985
qa,claude-haiku,budget,anthropic,0.0014089733333333334,0.0002512373972666306,2.0819362084070843,1.4928881476387759,1581.8,35.88333333333333,,,,,,,0.11666666666666667,0.32373177151309335,0.2813228626168939,0.31897052151422933,,
qa,claude-opus,frontier,anthropic,0.03434625,0.006372224395766364,2.5330989877382915,1.3399185321088227,2233.6666666666665,11.216666666666667,,,,,,,0.5,0.5042194840896107,0.7574982327613906,0.3232040141871367,,
qa,claude-sonnet,mid,anthropic,0.00692375,0.001250686558912371,2.099181282520294,0.5062918894489141,2233.6666666666665,14.85,,,,,,,0.35,0.4809947319913076,0.6981429267613478,0.31693675669116994,,
qa,gemini-pro,mid,google,0.0022248,0.0004222615082575398,3.923319164911906,1.3621589064011603,1452.9,5.05,,,,,,,0.48333333333333334,0.503939284299098,0.7390238059536305,0.3285573531975899,,
qa,gpt-frontier,frontier,openai,0.007379166666666667,0.0013264557614205042,4.135212326049805,5.258309225582473,1399.0333333333333,12.8,,,,,,,0.2833333333333333,0.4544196025054849,0.681092987679675,0.30479567310154826,,
qa,llama-70b,open-source,together,0.0015130093333333332,0.0002737340550134825,2.176069211959839,1.657458169395211,1449.0333333333333,5.783333333333333,,,,,,,0.45,0.5016920522135438,0.7404656248464297,0.3061561857675131,,
summarization,claude-haiku,budget,anthropic,0.0011512000000000002,0.00022650526390411148,2.5523714701334637,0.7321110299680111,871.6666666666666,113.46666666666667,0.2286766481606305,0.08655861555165506,4.916666666666667,0.278717806785302,,,,,,,,
summarization,claude-opus,frontier,anthropic,0.03066575,0.006374372805637763,4.724498609701793,2.3941100225961143,1239.4666666666667,160.98333333333332,0.2368428800600819,0.07843171208906373,4.983333333333333,0.12909944487358055,,,,,,,,
summarization,claude-sonnet,mid,anthropic,0.0062389,0.0013220922132510205,3.473965036869049,0.8449605956943684,1239.4666666666667,168.03333333333333,0.23233210141753619,0.07667957347964333,4.9,0.656131446111426,,,,,,,,
summarization,gemini-pro,mid,google,0.0019371,0.00039662991117750813,4.494693446159363,0.6099027598123503,797.7,82.28333333333333,0.23650877235957762,0.07943213512174772,4.866666666666666,0.5664838521990366,,,,,,,,
summarization,gpt-frontier,frontier,openai,0.00611,0.0012656150109461425,3.436648948987325,0.9853501173204748,784.0,73.0,0.23711514503585945,0.09431960273691715,4.816666666666666,0.9111673768855889,,,,,,,,
summarization,llama-70b,open-source,together,0.0009591053333333334,0.00025459526990071754,2.9533678690592446,1.2525514089188652,819.0666666666667,103.15,0.22001496743320334,0.07207859506175114,4.85,0.684575830567082,,,,,,,,
